Ref,Val,Package,PosX,PosY,Rot,Side
"P7","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",233.517500,-137.160000,90.000000,top
"P8","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",209.625000,-137.160000,90.000000,top
"P9","S2B-PH-K-S","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",206.560000,-106.735000,-90.000000,top
"P10","S2B-PH-K-S","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",206.560000,-113.635000,-90.000000,top
"P11","PH2RA-06-UA","PinHeader_2x03_P2.54mm_Horizontal",299.590000,-66.000000,0.000000,top
"P12","S2B-PH-K-S","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",206.560000,-120.540000,-90.000000,top
"P13","PH2-04-UA","PinHeader_2x02_P2.54mm_Vertical",302.090000,-124.255000,90.000000,top
"Q1","DMN65D8L","DMP3099L-7_DIO",205.949334,-98.399999,90.000000,top
"Q2","DMN65D8L","DMP3099L-7_DIO",292.730000,-107.801500,180.000000,top
"Q3","DMP3099L","DMP3099L-7_DIO",292.730000,-112.080000,180.000000,top
"Q4","DMN65D8L","DMP3099L-7_DIO",205.949750,-91.400251,90.000000,top
"Q5","DMN65D8L","T_SOT23",292.690001,-121.690000,0.000000,top
"Q6","DMN65D8L","T_SOT23",292.680000,-127.175000,0.000000,top
"R1","1.2kΩ","R_0603_1608Metric",199.882832,-91.538004,90.000000,top
"R2","0Ω","R_0603_1608Metric",199.880000,-94.555000,-90.000000,top
"R3","100Ω","R_0603_1608Metric",208.972250,-98.599999,-90.000000,top
"R4","4.7kΩ","R_0603_1608Metric",210.577750,-98.599999,-90.000000,top
"R5","10kΩ","R_0603_1608Metric",301.762500,-56.757500,0.000000,top
"R6","10kΩ","R_0603_1608Metric",301.765000,-58.217500,0.000000,top
"R7","4.7kΩ","R_0603_1608Metric",295.330000,-103.470000,-90.000000,top
"R8","100Ω","R_0603_1608Metric",295.330000,-106.530000,-90.000000,top
"R9","0Ω","R_0603_1608Metric",304.480000,-53.855000,-90.000000,top
"R10","180Ω","R_0603_1608Metric",201.410000,-91.530000,-90.000000,top
"R11","0Ω","R_0603_1608Metric",201.410000,-94.550000,-90.000000,top
"R12","4.7kΩ","R_0603_1608Metric",295.330000,-109.601500,90.000000,top
"R13","4.7kΩ","R_0603_1608Metric",295.330000,-112.705000,-90.000000,top
"R14","180Ω","R_0603_1608Metric",202.932832,-91.538004,-90.000000,top
"R15","0Ω","R_0603_1608Metric",202.940000,-94.560000,-90.000000,top
"R16","100Ω","R_0603_1608Metric",208.999750,-91.550251,90.000000,top
"R17","20kΩ","R_0603",305.430000,-90.430000,180.000000,top
"R19","4.7kΩ","R_0603_1608Metric",298.910000,-106.670000,0.000000,top
"R20","4.7kΩ","R_0603_1608Metric",298.910000,-105.210000,0.000000,top
"R21","4.7kΩ","R_0603_1608Metric",306.110000,-103.752000,180.000000,top
"R22","0Ω","R_0603",295.480000,-96.035000,-90.000000,top
"R25","4.7kΩ","R_0603_1608Metric",306.110000,-105.209500,180.000000,top
"R26","4.7kΩ","R_0603",288.650000,-122.315500,-90.000000,top
"R27","100Ω","R_0603",290.070000,-122.315500,90.000000,top
"R28","4.7kΩ","R_0603",295.280001,-122.324500,90.000000,top
"R31","4.7kΩ","R_0603",288.640000,-127.825000,-90.000000,top
"R32","100Ω","R_0603",290.070000,-127.825000,90.000000,top
"R33","4.7kΩ","R_0603",295.260000,-127.815000,90.000000,top
"R34","4.7kΩ","R_0603",303.745000,-129.475000,180.000000,top
"R35","4.7kΩ","R_0603",303.745000,-127.970000,0.000000,top
"SW1","EG1247","MFS101D10Z",307.920000,-56.790000,90.000000,top
"U1","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",286.700000,-61.050000,-90.000000,top
"U2","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",266.700000,-61.050000,-90.000000,top
"U3","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",246.700000,-61.050000,-90.000000,top
"U4","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",226.700000,-61.050000,-90.000000,top
"U5","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",281.755000,-69.599459,-90.000000,top
"U6","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",261.755000,-69.599459,-90.000000,top
"U7","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",241.755000,-69.599459,-90.000000,top
"U8","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",221.755000,-69.616000,-90.000000,top
"U9","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",286.720000,-78.223049,-90.000000,top
"U10","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",266.718274,-78.220681,-90.000000,top
"U11","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",246.718274,-78.220681,-90.000000,top
"U12","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",226.702020,-78.220520,-90.000000,top
"U13","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",281.755000,-86.906508,-90.000000,top
"U14","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",261.753274,-86.904140,-90.000000,top
"U15","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",241.753274,-86.904140,-90.000000,top
"U16","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",221.737020,-86.903979,-90.000000,top
"U17","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",286.702020,-95.541028,-90.000000,top
"U18","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",266.702020,-95.541028,-90.000000,top
"U19","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",246.702020,-95.541028,-90.000000,top
"U20","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",226.702020,-95.541028,-90.000000,top
"U21","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",281.737020,-104.224487,-90.000000,top
"U22","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",261.737020,-104.224487,-90.000000,top
"U23","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",241.737020,-104.224487,-90.000000,top
"U24","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",221.737020,-104.224487,-90.000000,top
"U25","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",286.702020,-112.861536,-90.000000,top
"U26","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",266.702020,-112.861536,-90.000000,top
"U27","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",246.702020,-112.861536,-90.000000,top
"U28","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",226.702020,-112.861536,-90.000000,top
"U29","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",281.737020,-121.544995,-90.000000,top
"U30","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",261.737020,-121.544995,-90.000000,top
"U31","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",241.737020,-121.544995,-90.000000,top
"U32","MIC4127","MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias_mic4127alt",221.737020,-121.544995,-90.000000,top
"U33","SN74LVC1G14DBVR","SOT-23-5",301.967500,-62.625000,-90.000000,top
"U35","AD5272BRMZ-50-RL7","RM_10_ADI",299.800000,-100.800000,-90.000000,top
"U38","SN74LVC1G02DBVR","IC_SOT23-5",303.540000,-132.400000,90.000000,top
